id,gender,own_car,own_property,child_count,income,type_income,education_level,marital_status,housing_type,age,mobile_phone,work_phone,phone,email_id,type_occupation,family_members,label,experience_yrs
5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,43.0,1,0,1,0,not specified,2,1,0.5
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,1,0,1,0,not specified,2,1,9.981888761982118
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,55.0,1,0,0,0,Managers,2,1,1.9
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,33.0,1,0,0,0,Cleaning staff,2,1,13.1
5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,1,0,1,1,not specified,2,1,4.014403760365866
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.0,1,0,0,0,Laborers,1,1,6.6
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1,1,0,0,Sales staff,3,1,1.1
5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,36.0,1,0,0,0,not specified,2,1,10.0
5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,56.0,1,0,0,0,Drivers,2,1,4.2
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,1,0,0,0,Drivers,2,1,2.2
5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,1,0,0,0,not specified,2,1,2.731844494905246
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,1,0,1,0,Laborers,2,1,3.5
5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,1,1,1,0,not specified,1,1,2.3
5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,44.0,1,1,1,0,not specified,4,1,20.2
5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,1,0,0,0,not specified,1,1,7.041072182386023
5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,1,0,0,0,not specified,1,1,7.241255092596762
5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,1,0,0,0,not specified,1,1,7.274192974427543
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,1,0,1,0,Low-skill Laborers,3,1,6.2
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42.0,1,0,1,0,Low-skill Laborers,3,1,6.2
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,1,0,0,0,Accountants,3,1,11.3
5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,1,0,0,0,Laborers,3,1,3.2
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,1,0,0,0,Laborers,3,1,3.2
5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1,1,0,0,Laborers,2,1,20.0
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1,1,0,0,Laborers,2,1,20.0
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,32.0,1,1,1,0,High skill tech staff,1,1,0.5
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,1,0,0,0,Laborers,3,1,2.4
5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,1,0,0,0,Laborers,3,1,2.4
5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,1,0,0,1,IT staff,2,1,1.5
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,1,0,0,1,IT staff,2,1,1.5
5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,1,0,0,0,Drivers,2,1,9.2
5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,1,0,0,0,Drivers,2,1,9.2
5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,1,0,0,0,Drivers,2,1,9.2
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.0,1,1,0,0,Managers,2,1,5.9
5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,1,0,0,0,Drivers,3,1,4.0
5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,1,0,0,0,Drivers,1,1,4.0
5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,1,0,0,0,not specified,4,1,22.9
5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,1,0,0,0,not specified,4,1,22.9
5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,1,0,0,0,not specified,1,1,3.114475421286511
5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,1,0,0,0,not specified,1,1,3.1142239828725415
5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,1,0,0,0,not specified,1,1,3.1141233164652675
5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1,0,0,0,Sales staff,1,1,1.4
5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1,0,0,0,Sales staff,1,1,1.4
5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,57.0,1,0,0,0,not specified,2,1,5.667966890723166
5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,64.0,1,0,0,0,not specified,2,1,3.859198382784075
5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,1,0,1,0,not specified,2,1,2.6490622820473186
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,25.0,1,0,0,1,Waiters/barmen staff,3,1,4.3
5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,1,0,0,0,Laborers,2,1,0.4
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,42.0,1,0,0,0,High skill tech staff,2,1,10.9
5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,1,0,0,0,not specified,2,1,4.3
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.0,1,0,0,0,Laborers,3,1,7.9
5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.0,1,0,1,0,Sales staff,2,1,0.4
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,1,0,0,0,not specified,2,1,7.1
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,31.0,1,1,0,0,Accountants,2,1,4.7
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,31.0,1,1,0,0,Accountants,2,1,4.7
5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,1,0,0,0,Core staff,2,1,3.6
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,1,0,0,0,High skill tech staff,4,1,13.7
5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,1,1,0,0,not specified,3,1,9.6
5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,1,1,0,0,not specified,3,1,9.6
5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,1,0,0,0,Laborers,2,1,3.8
5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,1,0,0,0,Laborers,2,1,3.8
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,1,0,0,0,Laborers,2,1,3.8
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.0,1,0,0,0,Managers,2,1,3.5
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,56.0,1,1,1,0,Accountants,2,1,6.9
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,35.0,1,0,0,0,not specified,3,1,5.8
5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,1,0,0,0,Security staff,2,1,2.4
5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1,0,0,0,Laborers,2,1,0.6
5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1,0,0,0,Laborers,2,1,0.6
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,1,0,0,0,Laborers,4,1,1.5
5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,1,0,0,0,not specified,2,1,2.5380569422008636
5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41.0,1,0,0,0,Core staff,3,1,18.8
5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,1,0,0,0,Core staff,1,1,1.6
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,1,0,0,0,Core staff,1,1,1.6
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46.0,1,1,1,0,Cleaning staff,1,1,6.1
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,1,0,0,0,Managers,2,1,22.4
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,45.0,1,0,0,0,Laborers,1,1,1.7
5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,1,0,0,0,not specified,1,1,1.519782810855975
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,1,0,0,0,Medicine staff,2,1,19.0
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.0,1,0,0,0,Security staff,1,1,0.9
5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.0,1,0,1,0,not specified,1,1,5.28290365464076
5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,1,0,1,0,not specified,2,1,3.604628942432834
5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,1,1,1,0,not specified,3,1,5.0
5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,1,1,1,0,not specified,3,1,5.0
5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,1,0,0,0,Core staff,2,1,9.4
5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,1,0,0,0,Core staff,2,1,9.4
5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,1,0,0,0,Core staff,2,1,9.4
5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,1,0,0,0,Core staff,2,1,9.4
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,1,0,0,0,Core staff,2,1,9.4
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,1,1,0,0,Managers,1,1,2.4
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,1,1,0,0,Managers,1,1,2.4
5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,1,0,0,0,Core staff,6,1,20.3
5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,1,0,0,0,not specified,2,1,19.425825769736438
5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,1,0,0,0,not specified,2,1,19.39868750798037
5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,1,0,0,0,not specified,2,1,19.34301634051715
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41.0,1,0,0,0,Core staff,2,1,20.7
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36.0,1,1,1,0,Laborers,3,1,10.8
5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,61.0,1,0,1,0,not specified,1,1,15.297448727871512
5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,1,0,1,0,not specified,1,1,17.036415861155014
5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,1,0,0,0,not specified,2,1,2.331780498556615
5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,1,0,0,0,not specified,2,1,2.3360333480786406
5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,1,0,0,0,not specified,2,1,2.3374445375448465
5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,59.0,1,0,0,0,not specified,2,1,2.3388528848095755
5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,1,0,0,0,not specified,2,1,2.34305823237383
5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1,0,1,0,Laborers,2,1,2.8
5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38.0,1,0,0,0,Laborers,2,1,0.4
5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,1,0,0,0,not specified,2,1,7.599697370704908
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,1,0,1,0,High skill tech staff,2,1,1.7
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,1,0,1,0,High skill tech staff,2,1,1.7
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.0,1,0,0,0,Cooking staff,1,1,4.4
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36.0,1,0,1,0,Laborers,3,1,4.5
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.0,1,1,0,0,Sales staff,4,1,5.1
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,1,0,0,0,Security staff,2,1,1.5
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,1,0,0,0,Security staff,2,1,1.5
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,1,0,0,0,Security staff,2,1,1.5
5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,1,0,0,0,Core staff,1,1,5.3
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,1,0,0,0,Core staff,1,1,5.3
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,52.0,1,1,1,0,Laborers,2,1,2.6
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,1,0,0,0,Managers,2,1,2.5
5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,1,0,0,0,Managers,2,1,2.5
5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,1,1,1,0,Managers,4,1,11.8
5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,1,1,1,0,Managers,4,1,11.8
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1,1,1,0,Drivers,3,1,2.5
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1,1,1,0,Drivers,3,1,2.5
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1,0,1,0,Core staff,1,1,1.4
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1,0,1,0,Core staff,1,1,1.4
5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1,0,1,0,Core staff,1,1,1.4
5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35.0,1,0,0,1,Laborers,3,1,6.6
5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59.0,1,0,0,0,not specified,2,1,5.660235341601661
5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,1,0,0,0,not specified,2,1,11.104557298797594
5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.0,1,0,0,1,Managers,1,1,0.5
5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,1,1,1,0,Sales staff,3,1,3.1
5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,56.0,1,0,0,0,Security staff,2,1,4.8
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39.0,1,0,1,0,Managers,1,1,2.5
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,1,0,0,0,Security staff,2,1,3.0
5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,1,0,0,0,Security staff,2,1,3.0
5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1,0,1,1,Core staff,3,1,1.4
5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1,0,1,1,Core staff,3,1,1.4
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,1,0,0,0,Managers,2,1,6.6
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,34.0,1,0,1,1,Medicine staff,2,1,3.6
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,34.0,1,0,1,1,Medicine staff,2,1,3.6
5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43.0,1,1,1,0,Cleaning staff,3,0,17.4
5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,1,0,0,0,Laborers,2,0,6.8
5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.0,1,0,1,1,Sales staff,2,0,0.9
5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,1,0,1,0,Core staff,2,0,25.8
5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,1,0,0,1,Private service staff,3,0,8.4
5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,1,0,0,0,Sales staff,3,0,8.2
5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,1,0,0,0,Laborers,2,0,5.8
5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66.0,1,0,0,0,not specified,1,0,17.203931364595405
5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,1,1,0,0,Core staff,2,0,2.2
5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,1,0,1,0,not specified,2,0,11.701218968981369
5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,1,0,0,0,not specified,2,0,0.6484518471432175
5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,29.0,1,1,0,0,not specified,3,0,4.6
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,59.0,1,0,0,1,Core staff,2,0,4.6
5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,1,0,0,0,not specified,1,0,1.9
5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.0,1,0,0,0,not specified,1,0,1.6
5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.0,1,0,0,0,Sales staff,1,0,2.4
5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,1,0,0,0,not specified,2,0,3.969554453922582
5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,45.0,1,0,0,0,not specified,2,0,2.688771942940079
5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,1,0,0,0,not specified,2,0,0.4880367033493216
5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34.0,1,0,0,0,not specified,2,0,7.6
5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,1,0,0,0,Core staff,2,0,4.2
5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,1,0,0,0,not specified,2,0,11.02973609885663
5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,40.0,1,0,0,0,Laborers,2,0,8.7
5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,1,0,0,0,not specified,1,0,3.4411483403666816
5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,36.0,1,1,1,0,Core staff,2,0,14.3
5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48.0,1,0,1,0,not specified,2,0,8.4
5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,1,0,0,0,Security staff,4,0,0.9
5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,53.0,1,0,0,0,not specified,1,0,6.8
5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,1,0,0,0,Laborers,2,0,2.3
5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.0,1,0,1,0,not specified,2,0,3.0
5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.0,1,0,0,1,not specified,4,0,3.8
5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,1,1,1,0,Medicine staff,2,0,20.0
5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,1,0,0,0,Laborers,3,0,4.8
5143231,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.0,1,0,0,0,Managers,2,0,6.8
5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,55.0,1,1,0,1,High skill tech staff,2,0,2.4
5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,39.0,1,1,1,0,Private service staff,4,0,7.7
5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.0,1,0,0,0,Managers,4,0,6.8
5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,29.0,1,0,1,0,Core staff,2,0,4.9
5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,1,0,0,0,Core staff,2,0,1.2
5067643,F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,55.0,1,0,0,0,not specified,2,0,10.2082861912018
5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,52.0,1,1,0,0,Drivers,2,0,3.9
5053637,F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,60.0,1,0,0,0,not specified,1,0,4.19858873713088
5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,38.0,1,0,0,0,not specified,4,0,0.7
5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,32.0,1,0,1,0,not specified,1,0,6.4
5046283,F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,67.0,1,0,0,0,not specified,2,0,10.040369293793736
5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,30.0,1,0,0,0,Drivers,2,0,1.1
